43;Konami Krazy Racers;Sram_v111;4194304;Konami;0;Cezar;2;CFEC0650;35ABAC2E;8B7DC00C;;43;;0
44;Ready 2 Rumble Boxing - Round 2;None;4194304;Midway;0;Lightforce;67;E418E962;8AFDBAB3;A53280D5;;44;;0
45;Castlevania - Circle of the Moon;Sram_v110;8388608;Konami;1;Cezar;2;1CC059A4;F621BCE5;63CF4B85;;45;;0
46;Rayman Advance;Eeprom_v111;8388608;Ubi Soft;1;Cezar;4291;8ABA5AB8;5CDCF9C4;62C8A3E0;;46;;0
47;Tactics Ogre Gaiden - The Knight of Lodis;Flash_v124;8388608;Nintendo;7;Eurasia;256;0167A878;69C6F8CB;9ECC7710;;47;;0
48;Kurukuru Kururin;Sram_v111;4194304;Nintendo;0;Mode 7;2;C4DAB956;671F231C;F8466BBB;;48;;0
49;Top Gear GT Championship;Eeprom_v120;4194304;Kemco;0;Mode 7;2;391C0497;BAC02C12;B03BE451;;49;;0
50;Super Mario Advance;Eeprom_v120;4194304;Nintendo;16;Cezar;2;1E4C6D6A;E0DAC5C3;D0669A2A;;50;;0
51;Rayman Advance;Eeprom_v111;8388608;Ubi Soft;0;Cezar;4291;B43783B4;47CCE42B;42B608C0;;51;;0
52;Tweety and the Magic Gems;Sram_v112;4194304;Kemco;0;Eurasia;2;024A1914;C8127A6D;F03B3A11;;52;;0
53;Tony Hawk's Pro Skater 2;Eeprom_v111;8388608;Activision;2;Lightforce;64;6D236181;12D1EC11;0422B73D;;53;;0
54;Narikiri Jockey Game - Yuushun Rhapsody;Sram_v112;8388608;Capcom;7;Eurasia;256;0FF11189;63040414;CCC49F23;;54;;0
55;Choro Q Advance;Sram_v112;4194304;Takara;7;Eurasia;256;93FE0E34;C1DF9A3B;C0BB9455;;55;;0
56;Toyrobo Force;Sram_v112;4194304;Global A;7;Eurasia;256;227FC16B;92BC5D82;7680FD34;;56;;0
57;Hot Potato!;Eeprom_v120;4194304;BAM!;1;Mode 7;2;5ACB7A95;D5EECBFA;4A9BDFFF;;57;;0
58;Bomberman Tournament;Sram_v112;4194304;Activision;16;Mode 7;2;240282E6;67707F30;A1BF25BE;;58;;0
59;Tony Hawk's Pro Skater 2;Eeprom_v111;8388608;Activision;5;Cezar;1;F0EFC9D8;12D1EC11;2D7DDD26;;59;;0
60;Breath of Fire - Ryuu no Senshi;Eeprom_v121;4194304;Capcom;7;Eurasia;256;66E96B35;B3A99B1D;8454382D;;60;;0
61;Yu-Gi-Oh! Duel Monsters 5 Expert 1;Sram_v112;8388608;Konami;7;Eurasia;256;F3041E7E;16480FF9;F8194217;;61;;0
62;Super Street Fighter II X - Revival;Eeprom_v121;8388608;Capcom;7;Eurasia;256;7A2C0D61;725DA1CF;3A70344A;;62;;0
63;Mahjong Keiji;Sram_v112;4194304;Hudson;7;Eurasia;256;AD32A2D3;D1068B6D;F3C43E65;;63;;0
64;Pac-Man Collection;None;4194304;Namco;1;Mode 7;2;6E5C16F4;18D74515;9E4DB929;;64;;0
65;Titi et les Bijoux Magiques;Sram_v112;4194304;Kemco;5;Absence;1;C66E14A4;78DC0754;6FFC2D8D;;65;;0
66;EX Monopoly;Sram_v112;4194304;Takara;7;Eurasia;256;916EFD5B;89C3083E;AAC8C13B;;66;;0
67;Minna no Shiiku Series 1 - Boku no Kabuto Mushi;Sram_v112;4194304;MTO;7;Eurasia;256;F83FE589;4A1AA617;5CEEACEE;;67;;0
68;GetBackers Dakkanya - Jigoku no Scaramouche;Flash_v120;4194304;Konami;7;Eurasia;256;C0A0A979;6A885FAE;7BBFAC4D;;68;;0
69;Space Hexcite - Maetel Legend EX;Sram_v111;4194304;Jordan;7;Perversion;256;BD4E6008;9CD4DE4B;0702F19E;;69;;0
70;Kaze no Klonoa - Yumemiru Teikoku;Eeprom_v121;4194304;Namco;7;Eurasia;256;B51D97DE;ECA0EE23;AC92A7EF;;70;;0
71;Mario Kart Advance;Flash_v124;4194304;Nintendo;7;Eurasia;256;30E99FCD;3AEC0338;89385C43;;71;;0
72;Doraemon - Midori no Wakusei Dokidoki Daikyuushutsu!;Sram_v110;8388608;Epoch;7;Perversion;256;95565762;21E8B257;F5D9572F;;72;;0
73;Jurassic Park III - The DNA Factor;Eeprom_v121;8388608;Konami;1;Mode 7;2;F93DCC2E;F5E63DC6;132BFDC5;;73;;0
74;Kinniku Banzuke - Kongou-kun no Daibouken!;Sram_v112;8388608;Konami;7;Eurasia;256;94519D2A;F47640BD;CEE1E01C;;74;;0
75;JGTO Kounin Golf Master Mobile - Japan Golf Tour Game;Flash_v124;8388608;Konami;7;Eurasia;256;B863DAE1;99E55150;82312BBE;;75;;0
76;Zero-Tours;Flash_v124;4194304;Media Rings;7;Eurasia;256;DE7C1AE8;2FCF2702;6D78C8AA;;76;;0
77;Sutakomi - Star Communicator;Sram_v110;8388608;Konami;7;Eurasia;256;260683C7;2E033070;15584B7B;;77;;0
78;Mobile Pro Yakyuu - Kantoku no Saihai;Flash_v124;8388608;Konami;7;Eurasia;256;8DF8A0C0;4BEA8F28;E1278D3E;;78;;0
79;Ougon no Taiyou - Hirakareshi Fuuin;Flash_v123;8388608;Nintendo;7;Eurasia;256;FB96D9DE;AC5B1501;E7E7F3E4;;79;;0
80;Dokapon Q - Monster Hunter!;Sram_F_v102;8388608;Asmik;7;Eurasia;256;45B3EDC4;972CA2E6;CB3ECF69;;80;;0
81;Minna no Shiiku Series 2 - Boku no Kuwagata;Sram_v112;4194304;MTO;7;Eurasia;256;C0BA281D;2BF55396;FDB88C0B;;81;;0
82;Jurassic Park III - Kyouryuu ni Ainiikou!;Sram_v112;4194304;Konami;7;Eurasia;256;F2BF8990;BD23B764;EA36BB22;;82;;0
83;Final Fight One;Eeprom_v121;4194304;Capcom;0;Paracox;2;9DD5E6FA;A9C43BEF;6ABAB86E;;83;;0
84;Super Black Bass Advance;Sram_F_v102;4194304;Starfish;7;Eurasia;256;67C4E470;852DBCCB;FCEC3641;;84;;0
85;Tanbi Musou - Meine Liebe;Sram_F_v100;8388608;Konami;7;Perversion;256;2785CB89;971785F4;2EF4EC44;;85;;0
86;Mario Kart - Super Circuit;Flash_v124;4194304;Nintendo;1;iNFeRNO;2;ED316E37;5E453F3E;6AE46BBD;;86;;0
87;Kiwame Mahjong Deluxe - Mirai Senshi 21;Sram_v112;8388608;Athena;7;Eurasia;256;66F7614B;EA8BBD5A;64319916;;87;;0
88;Fortress;None;4194304;Majesco Sales;1;Eurasia;2;BEE67855;8F2A15F8;1CB6D28B;;88;;0
89;Jurassic Park III - The DNA Factor;Eeprom_v121;8388608;Konami;0;Absence;4291;FE89C986;37025F3A;9E5B0575;;89;;0
90;Wario Land Advance;Sram_v112;8388608;Nintendo;7;Eurasia;256;F56EBB7A;1BA9961B;DEFFB979;;90;;0
91;Tweety and the Magic Gems;Sram_v112;4194304;Kemco;2;Mugs;64;8AA6E91A;9816876A;25B61B8D;;91;;0
92;Jurassic Park III - Advanced Action;Eeprom_v122;8388608;Konami;7;Eurasia;256;D18F75E5;6D427148;D9599799;;92;;0
93;ESPN Final Round Golf 2002;Flash_v124;8388608;Konami;1;Mode 7;2;C9BC75A5;767CC0B7;CDD2AA0F;;93;;0
94;Tang Tang;Eeprom_v121;4194304;Take 2;1;Mode 7;2;F5F0C143;8061FF91;535093C3;;94;;0
95;Advance Wars;Flash_v121;4194304;Nintendo;1;Mode 7;2;DBEF116C;4EB6AC59;55F9504A;[v1.0];95;;0
96;F-14 Tomcat;None;4194304;Majesco Sales;16;Mode 7;2;1428FE1C;1C2312FA;61065DAA;;96;;0
